XP_027932240.1	XP_027932240.1
XP_010053798.1	XP_010053798.1
XP_008437921.1	XP_008437921.1
XP_008437921.1	ADN34176.1
XP_008437921.1	TYK17661.1
XP_008437921.1	KAA0048907.1
XP_022974623.1	XP_022974623.1
XP_017215354.1	XP_017215354.1
XP_017215354.1	KZM88170.1
KAA3476227.1	KAA3476227.1
XP_016181161.1	XP_016181161.1
XP_016181161.1	XP_025631651.1
XP_016181161.1	RYR24028.1
BBB16127.1	BBB16127.1
XP_014491619.1	XP_014491619.1
KAB2052407.1	KAB2052407.1
XP_003626556.1	XP_003626556.1
XP_003626556.1	AES82774.1
XP_003626556.1	RHN49531.1
XP_022974927.1	XP_022974927.1
